à 'a functional
ç' 's 
hi-fi i-'fi 
higelin i-Z@-'le~ 
higgins i-'gins 
highlander a-jla~-'d9R 
hilarant i-la-'Ra~ 
hilarante i-la-'Ra~t 
hilarantes i-la-'Ra~t 
hilarants i-la-'Ra~ 
hilare i-'laR 
hilares i-'laR 
hilarité i-la-Ri-'te 
hilarite i-la-'Rit 
himalaya i-ma-la-'ja 
hindi in-'di 
hindou e~-'du 
hindoue e~-'du 
hindoues e~-'du 
hindouisme e~-du-i-'sm@ 
hindouiste e~-du-is-'t@ 
hindouistes e~-du-is-'t@ 
hindous e~-'du 
hinterland in-tE-'Rla~d 
hippie i-'pi 
hippies i-'pi 
hippique i-'pik 
hippiques i-'pik 
hippocampe i-pO-'ka~p 
hippocampes i-pO-'ka~p 
hippodrome i-pOd-'Rom 
hippodromes i-pOd-'Rom 
hippolyte i-pO-'lit 
hippomobile i-pO-mO-'bil 
hippophagique i-pO-fa-'Zik 
hippopotame i-pO-pO-'tam 
hippopotames i-pO-pO-'tam 
hippy i-'pi 
hiérarchie je-Ra-'RSi 
hiérarchies je-Ra-'RSi 
hiérarchique je-Ra-'RSik 
hiérarchiquement je-Ra-RSi-k@-'ma~ 
hiérarchiques je-Ra-'RSik 
hiérarchisé je-Ra-RSi-'ze 
hiérarchisant je-Ra-RSi-'za~ 
hiérarchisation je-Ra-RSi-za-'sjo~ 
hiérarchise je-Ra-'RSiz 
hiérarchisée je-Ra-RSi-'ze 
hiérarchisent je-Ra-'RSiz 
hiérarchiser je-Ra-RSi-'ze 
hiérarchisées je-Ra-RSi-'ze 
hiérarchisés je-Ra-RSi-'ze 
hiératique je-Ra-'tik 
hiératiques je-Ra-'tik 
hiératisme je-Ra-ti-'sm@ 
hiéroglyphe je-ROg-'lif 
hiéroglyphes je-ROg-'lif 
hirohito i-Ro-i-'to 
hirondelle i-Ro~-'dEl 
hirondelles i-Ro~-'dEl 
hiroshima i-Ro-Si-'ma 
hirsute i-'Rsyt 
hirsutes i-'Rsyt 
hispanique is-pa-'nik 
hispaniques is-pa-'nik 
hispanisant is-pa-ni-'za~ 
hispanisants is-pa-ni-'za~ 
hispaniser is-pa-ni-'ze 
hispanité is-pa-ni-'te 
hispanite is-pa-'nit 
hissé i-'se 
hissa i-'sa 
hissaient i-'sE 
hissait i-'sE 
hissant i-'sa~ 
hisse 'is 
hissée i-'se 
hissee i-'si 
hissees i-'si 
hissene i-s@-'ne 
hissent 'is 
hisser i-'se 
hissera i-s@-'Ra 
hisserait i-s@-'RE 
hisses 'is 
hissées i-'se 
hissène i-'sEn 
hissons i-'so~ 
hissés i-'se 
histoire is-'twaR 
histoires is-'twaR 
histologie is-tO-lO-'Zi 
historia is-tOR-'ja 
historien is-tOR-'je~ 
historienne is-tOR-'jEn 
historiennes is-tOR-'jEn 
historiens is-tOR-'je~ 
historiette is-tOR-'jEt 
historiettes is-tOR-'jEt 
historiographie is-tOR-jOg-Ra-'fi 
historiographies is-tOR-jOg-Ra-'fi 
historiographique is-tOR-jOg-Ra-'fik 
historiographiques is-tOR-jOg-Ra-'fik 
historique is-tO-'Rik 
historiquement is-tO-Ri-k@-'ma~ 
historiques is-tO-'Rik 
histrion is-tRi-'jo~ 
histrions is-tRi-'jo~ 
hit 'it 
hitchcockien i-tkOk-'je~ 
hitchcockienne i-tkOk-'jEn 
hitchcockiennes i-tkOk-'jEn 
hitler i-'tlER 
hitlerien i-tl@-'Rje~ 
hitlerienne i-tl@-'RjEn 
hitleriennes i-tl@-'RjEn 
hitleriens i-tl@-'Rje~ 
hitlerisme i-tl@-Ri-'sm@ 
hitlérien i-tle-'Rje~ 
hitlérienne i-tle-'RjEn 
hitlériennes i-tle-'RjEn 
hitlériens i-tle-'Rje~ 
hitlérisme i-tle-Ri-'sm@ 
hit-parade i-tpa-'Rad 
hit-parades i-tpa-'Rad 
hittite i-'tit 
hittites i-'tit 
hiver i-'vER 
hivernal i-vE-'Rnal 
hivernale i-vE-'Rnal 
hivernales i-vE-'Rnal 
hivernaux i-vE-'Rno 
hivernent i-vE-'Rn@ 
hiverner i-vE-'Rne 
hivers i-'vER 
hl 'l 
hâlé a-'le 
héla e-'la 
hélas e-'las 
hâle 'al 
hâlée a-'le 
héler e-'le 
hâlées a-'le 
hélice e-'lis 
hélices e-'lis 
hélicoïdal e-li-kO-i-'dal 
hélicoïdale e-li-kO-i-'dal 
hélicoïdales e-li-kO-i-'dal 
hélicon e-li-'ko~ 
hélicoptère e-li-kOp-'tER 
hélicoptères e-li-kOp-'tER 
héliographique e-ljOg-Ra-'fik 
héliogravure e-ljOg-Ra-'vyR 
héliomarin e-ljO-ma-'Re~ 
hélion e-'ljo~ 
héliport e-li-'pOR 
héliporté e-li-pOR-'te 
héliportée e-li-pOR-'te 
héliportées e-li-pOR-'te 
héliports e-li-'pOR 
héliportés e-li-pOR-'te 
hélium e-'ljOm 
hlm a-SE-'lEm 
héléna e-le-'na 
hélène e-'lEn 
hâlés a-'le 
hm 'm 
hématologie e-ma-tO-lO-'Zi 
hématome e-ma-'tom 
hématomes e-ma-'tom 
hémicycle e-mi-si-'kl@ 
hémicycles e-mi-si-'kl@ 
hémicyle e-mi-'sil 
hémiplégie e-mi-ple-'Zi 
hémiplégique e-mi-ple-'Zik 
hémisphère e-mi-'sfER 
hémisphères e-mi-'sfER 
hémisphérique e-mi-sfe-'Rik 
hémistiche e-mis-'tiS 
hémodialyse e-mOd-ja-'liz 
hémoglobine e-mOg-lO-'bin 
hémophile e-mO-'fil 
hémophiles e-mO-'fil 
hémophilie e-mO-fi-'li 
hémorragie e-mO-Ra-'Zi 
hémorragies e-mO-Ra-'Zi 
hémorroïdes e-mO-RO-'id 
ho 'o 
hobbies O-'bi 
hobby O-'bi 
hobereau O-b@-'Ro 
hobereaux O-b@-'Ro 
hoché O-'Se 
hochait O-'SE 
hochant O-'Sa~ 
hoche 'OS 
hochement O-S@-'ma~ 
hochements O-S@-'ma~ 
hochent 'OS 
hochepot O-S@-'po 
hocher O-'Se 
hochet O-'SE 
hochets O-'SE 
hocine o-'sin 
hockey O-'kE 
hockeyeur O-kE-'j9R 
hockeyeurs O-kE-'j9R 
hoeffel 9-'fEl 
hoffman Of-'man 
hoffmann Of-'man 
holà O-'la 
hola O-'la 
hold 'Old 
holding Ol-'ding 
holdings Ol-'ding 
hold-up Ol-'d9p 
hollandais O-la~-'dE 
hollandaise O-la~-'dEz 
hollandaises O-la~-'dEz 
hollande O-'la~d 
hollywood o-li-'wud 
hollywoodien O-li-wu-'dje~ 
hollywoodienne O-li-wu-'djEn 
hollywoodiennes O-li-wu-'djEn 
hollywoodiens O-li-wu-'dje~ 
holocauste O-lO-kos-'t@ 
holocaustes O-lO-kos-'t@ 
homard O-'maR 
homards O-'maR 
home 'Om 
homelie O-m@-'li 
homelies O-m@-'li 
homeopathe O-mO-'pat 
homeopathes O-mO-'pat 
homeopathie O-mO-pa-'ti 
homeopathique O-mO-pa-'tik 
homeopathiques O-mO-pa-'tik 
homerique O-m@-'Rik 
homeriques O-m@-'Rik 
homes 'Om 
homicide O-mi-'sid 
homicides O-mi-'sid 
hominisation O-mi-ni-za-'sjo~ 
homélie O-me-'li 
homélies O-me-'li 
hommage O-'maZ 
hommages O-'maZ 
homme 'Om 
homme-orchestre O-mOR-kEs-'tR@ 
hommes 'Om 
homme-sandwich O-m@-sa~-'dwiS 
hommes-grenouilles Om-gR@-'nuj 
hommes-orchestres O-m@-zOR-kEs-'tR@ 
hommes-sandwichs Om-sa~-'dwiS 
homo O-'mo 
homogene O-mO-'Z@n 
homogeneisation O-mO-Z@-nE-za-'sjo~ 
homogeneise O-mO-Z@-'nEz 
homogeneisee O-mO-Z@-nE-'zi 
homogeneisees O-mO-Z@-nE-'zi 
homogeneiser O-mO-Z@-nE-'ze 
homogeneises O-mO-Z@-'nEz 
homogeneite O-mO-Z@-'nEt 
homogenes O-mO-'Z@n 
homogène O-mO-'ZEn 
homogènes O-mO-'ZEn 
homogénéisé O-mO-Ze-ne-i-'ze 
homogénéisation O-mO-Ze-ne-i-za-'sjo~ 
homogénéise O-mO-Ze-ne-'iz 
homogénéisée O-mO-Ze-ne-i-'ze 
homogénéiser O-mO-Ze-ne-i-'ze 
homogénéisées O-mO-Ze-ne-i-'ze 
homogénéisés O-mO-Ze-ne-i-'ze 
homogénéité O-mO-Ze-ne-i-'te 
homologation O-mO-lO-ga-'sjo~ 
homologations O-mO-lO-ga-'sjo~ 
homologué O-mO-lO-'ge 
homologue O-mO-'lOg 
homologuée O-mO-lO-'ge 
homologuee O-mO-lO-'gi 
homologuees O-mO-lO-'gi 
homologuer O-mO-lO-'ge 
homologues O-mO-'lOg 
homologuées O-mO-lO-'ge 
homologués O-mO-lO-'ge 
homonyme O-mO-'nim 
homonymes O-mO-'nim 
homonymie O-mO-ni-'mi 
homonymies O-mO-ni-'mi 
homéopathe O-me-O-'pat 
homéopathes O-me-O-'pat 
homéopathie O-me-O-pa-'ti 
homéopathique O-me-O-pa-'tik 
homéopathiques O-me-O-pa-'tik 
homos O-'mo 
homosexualité O-mO-sE-ksy-a-li-'te 
homosexualite O-mO-sE-ksy-a-'lit 
homosexualites O-mO-sE-ksy-a-'lit 
homosexualités O-mO-sE-ksy-a-li-'te 
homosexuel O-mO-sE-'ksHEl 
homosexuelle O-mO-sE-'ksHEl 
homosexuelles O-mO-sE-'ksHEl 
homosexuels O-mO-sE-'ksHEl 
homérique O-me-'Rik 
homériques O-me-'Rik 
honduras o~-dy-'Ras 
hondurien o~-dy-'Rje~ 
hondurien o~-dy-'Rje~ 
hondurienne o~-dy-'RjEn 
honduriennes o~-dy-'RjEn 
honduriens o~-dy-'Rje~ 
honduriens o~-dy-'Rje~ 
honecker o-nE-'kER 
hong 'Ong 
hongkong o~-'gko~g 
hong-kong On-'gkOng 
hongre o~-'gR@ 
hongrie o~-'gRi 
hongrois o~-'gRwa 
hongrois o~-'gRwa 
hongroise o~-'gRwaz 
hongroise o~-'gRwaz 
hongroises o~-'gRwaz 
honnete O-'n@t 
honnetement O-n@-t@-'ma~ 
honnetes O-'n@t 
honnetete O-n@-'t@t 
honneur O-'n9R 
honneurs O-'n9R 
honni O-'ni 
honnie O-'ni 
honnies O-'ni 
honnir O-'niR 
honnis O-'ni 
honnissait O-ni-'sE 
honnissent O-'nis 
honnit O-'ni 
honnête O-'nEt 
honnêtement O-nE-t@-'ma~ 
honnêtes O-'nEt 
honnêteté O-nE-t@-'te 
honolulu O-nO-ly-'ly 
honoré O-nO-'Re 
honoré O-nO-'Re 
honora O-nO-'Ra 
honorabilité O-nO-Ra-bi-li-'te 
honorabilite O-nO-Ra-bi-'lit 
honorable O-nO-Ra-'bl@ 
honorablement O-nO-Ra-bl@-'ma~ 
honorables O-nO-Ra-'bl@ 
honoraient O-nO-'RE 
honoraire O-nO-'RER 
honoraires O-nO-'RER 
honorait O-nO-'RE 
honorant O-nO-'Ra~ 
honore O-'nOR 
honorée O-nO-'Re 
honoree O-nO-'Ri 
honorees O-nO-'Ri 
honorent O-'nOR 
honorer O-nO-'Re 
honorera O-nO-R@-'Ra 
honoreraient O-nO-R@-'RE 
honorerait O-nO-R@-'RE 
honoreras O-nO-R@-'Ra 
honorerons O-nO-R@-'Ro~ 
honoreront O-nO-R@-'Ro~ 
honores O-'nOR 
honorées O-nO-'Re 
honorifique O-nO-Ri-'fik 
honorifiques O-nO-Ri-'fik 
honorine O-nO-'Rin 
honorons O-nO-'Ro~ 
honorés O-nO-'Re 
éhonté e-o~-'te 
honte 'o~t 
éhontée e-o~-'te 
hontes 'o~t 
éhontées e-o~-'te 
honteuse o~-'t9z 
honteusement o~-t9-z@-'ma~ 
honteuses o~-'t9z 
honteux o~-'t@ 
éhontés e-o~-'te 
hooligan u-li-'ga~ 
hooliganisme u-li-ga-ni-'sm@ 
hooligans u-li-'ga~ 
hop 'Op 
hopital O-pi-'tal 
hopitaux O-pi-'to 
hoplites Op-'lit 
hoquet O-'kE 
hoquetant O-k@-'ta~ 
hoqueter O-k@-'te 
hoquets O-'kE 
hoquette O-'kEt 
horaire O-'RER 
horaires O-'RER 
horde OR-'d@ 
hordes OR-'d@ 
horions OR-'jo~ 
horizon O-Ri-'zo~ 
horizons O-Ri-'zo~ 
horizontal O-Ri-zo~-'tal 
horizontale O-Ri-zo~-'tal 
horizontalement O-Ri-zo~-ta-l@-'ma~ 
horizontales O-Ri-zo~-'tal 
horizontalité O-Ri-zo~-ta-li-'te 
horizontalite O-Ri-zo~-ta-'lit 
horizontaux O-Ri-zo~-'to 
horloge OR-'lOZ 
horloger OR-lO-'Ze 
horlogere OR-lO-'Z@R 
horlogeres OR-lO-'Z@R 
horlogerie OR-lO-Z@-'Ri 
horlogers OR-lO-'Ze 
horloges OR-'lOZ 
horlogère OR-lO-'ZER 
horlogères OR-lO-'ZER 
hormis OR-'mi 
hormonal OR-mO-'nal 
hormonale OR-mO-'nal 
hormonales OR-mO-'nal 
hormonaux OR-mO-'no 
hormone OR-'mOn 
hormones OR-'mOn 
horn OR-'n@ 
horodateur O-RO-da-'t9R 
horodateurs O-RO-da-'t9R 
horoscope O-ROs-'kOp 
horoscopes O-ROs-'kOp 
horreur O-'R9R 
horreurs O-'R9R 
horrible O-Ri-'bl@ 
horriblement O-Ri-bl@-'ma~ 
horribles O-Ri-'bl@ 
horrifié O-Ri-'fje 
horrifiant O-Ri-'fja~ 
horrifie O-Ri-'fi 
horrifiée O-Ri-'fje 
horrifiee O-Ri-'fji 
horrifiees O-Ri-'fji 
horrifies O-Ri-'fi 
horrifiées O-Ri-'fje 
horrifique O-Ri-'fik 
horrifiques O-Ri-'fik 
horrifiés O-Ri-'fje 
horripilé O-Ri-pi-'le 
horripilant O-Ri-pi-'la~ 
horripile O-Ri-'pil 
horripilent O-Ri-'pil 
horripiler O-Ri-pi-'le 
hors 'OR 
hors-bord OR-'bOR 
hors-cote OR-'kOt 
hors-d'oeuvre OR-d9v-'R@ 
hors-jeu OR-'Z@ 
hors-la-loi OR-la-'lwa 
horst ORs-'t@ 
hors-texte OR-tE-'kst@ 
hortensia OR-ta~-'sja 
hortensias OR-ta~-'sja 
horticole OR-ti-'kOl 
horticoles OR-ti-'kOl 
horticulture OR-ti-kyl-'tyR 
hortillonnages OR-ti-jO-'naZ 
hosanna O-za-'na 
hosni o-'sni 
hospice Os-'pis 
hospices Os-'pis 
hospital Os-pi-'tal 
hospitalier Os-pi-ta-'lje 
hospitaliere Os-pi-ta-'liR 
hospitalieres Os-pi-ta-'liR 
hospitaliers Os-pi-ta-'lje 
hospitalière Os-pi-ta-'ljER 
hospitalières Os-pi-ta-'ljER 
hospitalisé Os-pi-ta-li-'ze 
hospitalisation Os-pi-ta-li-za-'sjo~ 
hospitalisations Os-pi-ta-li-za-'sjo~ 
hospitalise Os-pi-ta-'liz 
hospitalisée Os-pi-ta-li-'ze 
hospitalisee Os-pi-ta-li-'zi 
hospitalisees Os-pi-ta-li-'zi 
hospitaliser Os-pi-ta-li-'ze 
hospitalises Os-pi-ta-'liz 
hospitalisées Os-pi-ta-li-'ze 
hospitalisés Os-pi-ta-li-'ze 
hospitalité Os-pi-ta-li-'te 
hospitalite Os-pi-ta-'lit 
hoss 'Os 
hossein O-sa-'in 
hostellerie Os-tE-l@-'Ri 
hostie Os-'ti 
hosties Os-'ti 
hostile Os-'til 
hostiles Os-'til 
hostilité Os-ti-li-'te 
hostilite Os-ti-'lit 
hostilites Os-ti-'lit 
hostilités Os-ti-li-'te 
hot 'Ot 
hot-dog Ot-'dOg 
hot-dogs Ot-'dOg 
hote 'Ot 
hotel O-'tEl 
hotelier O-t@-'lje 
hoteliere O-t@-'liR 
hotelieres O-t@-'liR 
hoteliers O-t@-'lje 
hotellerie O-tE-l@-'Ri 
hotelleries O-tE-l@-'Ri 
hotels O-'tEl 
hotes 'Ot 
hotesse O-'tEs 
hotesses O-'tEs 
hotte 'Ot 
hottes 'Ot 
hou 'u 
houblon u-'blo~ 
houe 'u 
houes 'u 
houille 'uj 
houiller u-'je 
houillere u-'j@R 
houilleres u-'j@R 
houillers u-'je 
houilles 'uj 
houillère u-'jER 
houillères u-'jER 
houle 'ul 
houles 'ul 
houlette u-'lEt 
houleuse u-'l9z 
houleuses u-'l9z 
houleux u-'l@ 
houphouet u-'fwE 
houphouët u-fu-'Et 
houphouët-boigny u-fu-E-bwa-'nji 
houppe 'up 
houppelande u-p@-'la~d 
houppelandes u-p@-'la~d 
houri u-'Ri 
houris u-'Ri 
hourra u-'Ra 
hourras u-'Ra 
hourvari u-Rva-'Ri 
house a-'us 
houspillé us-pi-'je 
houspillait us-pi-'jE 
houspillant us-pi-'ja~ 
houspille us-'pij 
houspiller us-pi-'je 
housse 'us 
housses 'us 
houston jus-'tOn 
houx 'u 
hovercraft O-v9R-'kRaft 
howard o-waR-'d@ 
howe 'Ow 
hépatique e-pa-'tik 
hépatiques e-pa-'tik 
hépatite e-pa-'tit 
hépatites e-pa-'tit 
hôpital o-pi-'tal 
hôpitaux o-pi-'to 
héraldique e-Ral-'dik 
hérault e-'Ro 
héraut e-'Ro 
hérauts e-'Ro 
hérédité e-Re-di-'te 
héréditaire e-Re-di-'tER 
héréditaires e-Re-di-'tER 
hérédités e-Re-di-'te 
hère 'ER 
hères 'ER 
hérissé e-Ri-'se 
hérissant e-Ri-'sa~ 
hérisse e-'Ris 
hérissée e-Ri-'se 
hérissent e-'Ris 
hérisser e-Ri-'se 
hérissées e-Ri-'se 
hérisson e-Ri-'so~ 
hérissons e-Ri-'so~ 
hérissés e-Ri-'se 
hérité e-Ri-'te 
hérita e-Ri-'ta 
héritage e-Ri-'taZ 
héritages e-Ri-'taZ 
héritaient e-Ri-'tE 
héritait e-Ri-'tE 
héritant e-Ri-'ta~ 
hérite e-'Rit 
héritée e-Ri-'te 
héritent e-'Rit 
hériter e-Ri-'te 
héritera e-Ri-t@-'Ra 
hériterait e-Ri-t@-'RE 
hériteront e-Ri-t@-'Ro~ 
héritées e-Ri-'te 
héritier e-Ri-'tje 
héritiers e-Ri-'tje 
héritière e-Ri-'tjER 
héritières e-Ri-'tjER 
héritons e-Ri-'to~ 
héritèrent e-Ri-'tER 
hérités e-Ri-'te 
héroï-comique e-ROj-kO-'mik 
héron e-'Ro~ 
héroïne e-RO-'in 
héroïnes e-RO-'in 
hérons e-'Ro~ 
héroïque e-RO-'ik 
héroïquement e-RO-i-k@-'ma~ 
héroïques e-RO-'ik 
héros e-'Ro 
héroïsme e-RO-i-'sm@ 
hérout e-'Ru 
hérésiarque e-Re-zjaR-'k@ 
hérésie e-Re-'zi 
hérésies e-Re-'zi 
hérétique e-Re-'tik 
hérétiques e-Re-'tik 
hésité e-zi-'te 
hésita e-zi-'ta 
hésitaient e-zi-'tE 
hésitais e-zi-'tE 
hésitait e-zi-'tE 
hésitant e-zi-'ta~ 
hésitante e-zi-'ta~t 
hésitantes e-zi-'ta~t 
hésitants e-zi-'ta~ 
hésitation e-zi-ta-'sjo~ 
hésitations e-zi-ta-'sjo~ 
hésite e-'zit 
hésitent e-'zit 
hésiter e-zi-'te 
hésitera e-zi-t@-'Ra 
hésiterai e-zi-t@-'RE 
hésiteraient e-zi-t@-'RE 
hésiterais e-zi-t@-'RE 
hésiterait e-zi-t@-'RE 
hésiterez e-zi-t@-'Re 
hésiterions e-zi-t@-'Rjo~ 
hésiterons e-zi-t@-'Ro~ 
hésiteront e-zi-t@-'Ro~ 
hésitez e-zi-'te 
hésitons e-zi-'to~ 
hésitèrent e-zi-'tER 
hâté a-'te 
hâta a-'ta 
hâtaient a-'tE 
hâtait a-'tE 
hâtant a-'ta~ 
hâte 'at 
hâtée a-'te 
hôtel o-'tEl 
hôtel-dieu o-tEl-'dj@ 
hôtelier o-t@-'lje 
hôteliers o-t@-'lje 
hôtelière o-t@-'ljER 
hôtelières o-t@-'ljER 
hôtellerie o-tE-l@-'Ri 
hôtelleries o-tE-l@-'Ri 
hôtels o-'tEl 
hâtent 'at 
hâter a-'te 
hâtera a-t@-'Ra 
hâterait a-t@-'RE 
hâteront a-t@-'Ro~ 
hâtes 'at 
hôtesse o-'tEs 
hôtesses o-'tEs 
hâtif a-'tif 
hâtifs a-'tif 
hâtive a-'tiv 
hâtivement a-ti-v@-'ma~ 
hâtives a-'tiv 
hâtons a-'to~ 
hêtre E-'tR@ 
hâtèrent a-'tER 
hêtres E-'tR@ 
hétéroclite e-te-ROk-'lit 
hétéroclites e-te-ROk-'lit 
hétérodoxe e-te-RO-dOk-'s@ 
hétérodoxes e-te-RO-dOk-'s@ 
hétérogène e-te-RO-'ZEn 
hétérogènes e-te-RO-'ZEn 
hétérogénéité e-te-RO-Ze-ne-i-'te 
hétérogénéités e-te-RO-Ze-ne-i-'te 
hétéronyme e-te-RO-'nim 
hétéronymes e-te-RO-'nim 
hétérosexuel e-te-RO-zE-'ksHEl 
hétérosexuelle e-te-RO-zE-'ksHEl 
hétérosexuelles e-te-RO-zE-'ksHEl 
hétérosexuels e-te-RO-zE-'ksHEl 
hétérozygote e-te-RO-zi-'gOt 
hétérozygotes e-te-RO-zi-'gOt 
hâtés a-'te 
hué y-'e 
hu 'y 
hua y-'a 
huai y-'E 
huaient y-'E 
huant y-'a~ 
huard y-'aR 
huart y-'aR 
hubert y-'bER 
hublot y-'blo 
hublots y-'blo 
huchet y-'SE 
huchez y-'Se 
hue 'y 
huée y-'e 
huee 'Hi 
huees 'Hi 
huer 'He 
hues 'y 
huées y-'e 
huet 'HE 
huez 'He 
hugo y-'go 
huguenot y-'gno 
huguenote y-'gnOt 
huguenots y-'gno 
hugues 'yg 
huguette y-'gEt 
huilé Hi-'le 
huila Hi-'la 
huile 'Hil 
huilée Hi-'le 
huilee Hi-'li 
huilees Hi-'li 
huiler Hi-'le 
huilerie Hi-l@-'Ri 
huileries Hi-l@-'Ri 
huiles 'Hil 
huilées Hi-'le 
huileuse Hi-'l9z 
huileuses Hi-'l9z 
huileux Hi-'l@ 
huilier Hi-'lje 
huilés Hi-'le 
huis 'Hi 
huisseries Hi-s@-'Ri 
huissier Hi-'sje 
huissiers Hi-'sje 
huit 'Hit 
huitaine Hi-'tEn 
huitieme Hi-'sim 
huitiemes Hi-'sim 
huitième Hi-'tjEm 
huitièmes Hi-'tjEm 
huitre Hi-'tR@ 
huitres Hi-'tR@ 
hulotte y-'lOt 
hum '9m 
humé y-'me 
huma y-'ma 
humain y-'me~ 
humaine y-'mEn 
humainement y-mE-n@-'ma~ 
humaines y-'mEn 
humains y-'me~ 
humait y-'mE 
humanisation y-ma-ni-za-'sjo~ 
humanisme y-ma-ni-'sm@ 
humaniste y-ma-nis-'t@ 
humanistes y-ma-nis-'t@ 
humanité y-ma-ni-'te 
humanitaire y-ma-ni-'tER 
humanitaires y-ma-ni-'tER 
humanite y-ma-'nit 
humanites y-ma-'nit 
humanités y-ma-ni-'te 
humant y-'ma~ 
humbert ym-bER-'t@ 
humble 9~-'bl@ 
humblement 9~-bl@-'ma~ 
humbles 9~-'bl@ 
hume 'ym 
humecté y-mE-'kte 
humecte y-mE-'kt@ 
humecter y-mE-'kte 
hument 'ym 
humer y-'me 
humeur y-'m9R 
humeurs y-'m9R 
humide y-'mid 
humides y-'mid 
humidité y-mi-di-'te 
humidite y-mi-'dit 
humilié y-mi-'lje 
humiliait y-mi-'ljE 
humiliant y-mi-'lja~ 
humiliante y-mi-'lja~t 
humiliantes y-mi-'lja~t 
humiliants y-mi-'lja~ 
humiliation y-mi-lja-'sjo~ 
humiliations y-mi-lja-'sjo~ 
humilie y-mi-'li 
humiliée y-mi-'lje 
humiliee y-mi-'lji 
humiliees y-mi-'lji 
humilient y-mi-'li 
humilier y-mi-'lje 
humilies y-mi-'li 
humiliées y-mi-'lje 
humiliés y-mi-'lje 
humilité y-mi-li-'te 
humilite y-mi-'lit 
humoriste y-mO-Ris-'t@ 
humoristes y-mO-Ris-'t@ 
humoristique y-mO-Ris-'tik 
humoristiques y-mO-Ris-'tik 
humour y-'muR 
humus y-'mys 
hun '9~ 
hun '9~ 
hune 'yn 
huns '9~ 
huns '9~ 
huppé y-'pe 
huppe 'yp 
huppée y-'pe 
huppee y-'pi 
huppees y-'pi 
huppes 'yp 
huppées y-'pe 
huppés y-'pe 
hurd 'yR 
hure 'yR 
hures 'yR 
hurlé y-'Rle 
hurla y-'Rla 
hurlaient y-'RlE 
hurlais y-'RlE 
hurlait y-'RlE 
hurlant y-'Rla~ 
hurlante y-'Rla~t 
hurlantes y-'Rla~t 
hurlants y-'Rla~ 
hurle y-'Rl@ 
hurlée y-'Rle 
hurlee y-'Rli 
hurlees y-'Rli 
hurlement y-Rl@-'ma~ 
hurlements y-Rl@-'ma~ 
hurlent y-'Rl@ 
hurler y-'Rle 
hurlerent y-Rl@-'Ra~ 
hurleront y-Rl@-'Ro~ 
hurles y-'Rl@ 
hurlées y-'Rle 
hurlèrent y-'RlER 
hurlés y-'Rle 
hurluberlu y-Rly-bE-'Rly 
hurluberlus y-Rly-bE-'Rly 
huron y-'Ro~ 
huron y-'Ro~ 
hurons y-'Ro~ 
hurrah u-'Ra 
hués y-'e 
hussard y-'saR 
hussarde y-saR-'d@ 
hussards y-'saR 
hussein y-'sen 
husseini y-se-'ni 
husson y-'sOn 
huston jus-'tOn 
huître y-i-'tR@ 
huîtres y-i-'tR@ 
hutte 'yt 
huttes 'yt 
hutu y-'ty 
hutus y-'tys 
hévéa e-ve-'a 
hévéas e-ve-'a 
hâve 'av 
hâves 'av 
hyacinthe ja-'se~t 
hybridation i-bRi-da-'sjo~ 
hybridations i-bRi-da-'sjo~ 
hybride i-'bRid 
hybrides i-'bRid 
hydraulicien i-dRo-li-'sje~ 
hydrauliciens i-dRo-li-'sje~ 
hydraulique i-dRo-'lik 
hydrauliques i-dRo-'lik 
hydravion i-dRa-'vjo~ 
hydravions i-dRa-'vjo~ 
hydre i-'dR@ 
hydres i-'dR@ 
hydrique i-'dRik 
hydriques i-'dRik 
hydrocarbure i-dRO-kaR-'byR 
hydrocarbures i-dRO-kaR-'byR 
hydrodynamique i-dRO-di-na-'mik 
hydroelectrique i-dRe-lE-'ktRik 
hydroelectriques i-dRe-lE-'ktRik 
hydrogene i-dRO-'Z@n 
hydroglisseur i-dROg-li-'s9R 
hydroglisseurs i-dROg-li-'s9R 
hydrogène i-dRO-'ZEn 
hydrographique i-dROg-Ra-'fik 
hydro-électrique i-dRo-e-lE-'ktRik 
hydroélectrique i-dRO-e-lE-'ktRik 
hydro-électriques i-dRo-e-lE-'ktRik 
hydroélectriques i-dRO-e-lE-'ktRik 
hydrologie i-dRO-lO-'Zi 
hydrologique i-dRO-lO-'Zik 
hydromel i-dRO-'mEl 
hydrotherapie i-dRO-t@-Ra-'pi 
hydrothérapie i-dRO-te-Ra-'pi 
hyene 'jn 
hyenes 'jn 
hyeres j-'Rz@ 
hygiaphone i-Zja-'fOn 
hygiene i-'Zin 
hygienique i-Zi-'nik 
hygieniques i-Zi-'nik 
hygieniste i-Zi-nis-'t@ 
hygienistes i-Zi-nis-'t@ 
hygiène i-'ZjEn 
hygiénique i-Zje-'nik 
hygiéniques i-Zje-'nik 
hygiéniste i-Zje-nis-'t@ 
hygiénistes i-Zje-nis-'t@ 
hygrometrie i-gRO-m@-'tRi 
hygrométrie i-gRO-me-'tRi 
hymen i-'mEn 
hymne 'imn 
hymnes 'imn 
hyène 'jEn 
hyènes 'jEn 
hyper- i-'pe 
hyperbole i-pER-'bOl 
hyperboles i-pER-'bOl 
hyperbolique i-pER-bO-'lik 
hyperboliques i-pER-bO-'lik 
hyperboreens i-pER-bO-'Rin 
hyperboréens i-pER-bO-Re-'e~ 
hyperinflation i-p@-Re~-fla-'sjo~ 
